0	Невская губа	21.05.2012 г.	1	2.2 (м)	13.3 (0С)	1.5 (м)	Е.Ю. Воякина
1	Невская губа	22.05.2012 г.	2	4.8 (м)	10.3 (0С)	1.9 (м)	Е.Ю. Воякина
2	Невская губа	21.05.2012 г.	7	2.8 (м)	12.8  (0С)	1.9 (м)	Е.Ю. Воякина
3	Невская губа	22.05.2012 г.	12	4.3 (м)	13.1 (0С)	1.5 (м)	Е.Ю. Воякина
4	Невская губа	22.05.2012 г.	12а	0.8 (м)	19.2 (0С)	0.5 (м)	Е.Ю. Воякина
5	Невская губа	22.05.2012 г.	42	4.7 (м)	13.5 (0С)	1.7 (м)	Е.Ю. Воякина
6	Невская губа	21.05.2012 г.	9	4.1 (м)	10.7 (0С)	2.0 (м)	Е.Ю. Воякина
7	Невская губа	21.05.2012 г.	10	13.2 (м)	11.7 (0С)	1.5 (м)	Е.Ю. Воякина
8	Невская губа	22.05.2012 г.	13	4.6 (м)	13.9 (0С)	1.9 (м)	Е.Ю. Воякина
9	Невская губа	23.05.2012 г.	39	14.0 (м)	12.6 (0С)	1.1 (м)	Е.Ю. Воякина
10	Невская губа	22.05.2012 г.	15	8.3 (м)	13.9 (0С)	1.7 (м)	Е.Ю. Воякина
11	Невская губа	23.05.2012 г.	16	14.0 (м)	13.7 (0С)	0.9 (м)	Е.Ю. Воякина
12	Невская губа	21.05.2012 г.	6	4.1 (м)	11.9 (0С)	1.4 (м)	Е.Ю. Воякина
13	Невская губа	21.05.2012 г.	11	2.7 (м)	15.6 (0С)	0.9 (м)	Е.Ю. Воякина
14	Невская губа	23.05.2012 г.	11а	0.8 (м)	11.9 (0С)	0.4 (м)	Е.Ю. Воякина
15	Невская губа	23.05.2012 г.	14	4.2 (м)	13.5 (0С)	0.7 (м)	Е.Ю. Воякина
16	Невская губа	23.05.2012 г.	14а	0.7 (м)	14.6 (0С)	0.5 (м)	Е.Ю. Воякина
17	Невская губа	23.05.2012 г.	17	4.2 (м)	14.4 (0С)	0.6 (м)	Е.Ю. Воякина
18	Невская губа	23.05.2012 г.	17а	0.7 (м)	16.4 (0С)	0.4 (м)	Е.Ю. Воякина
19	Невская губа	13.08.2012 г.	1	2.6 (м)	14.4 (0С)	1.8 (м)	Е.Ю. Воякина
20	Невская губа	14.08.2012 г.	2	4.5 (м)	15.4 (0С)	2.1 (м)	Е.Ю. Воякина
21	Невская губа	14.08.2012 г.	7	3.0 (м)	15.1 (0С)	1.9 (м)	Е.Ю. Воякина
22	Невская губа	14.08.2012 г.	12	2.6 (м)	15.5 (0С)	1.1 (м)	Е.Ю. Воякина
23	Невская губа	13.08.2012 г.	12а	0.6 (м)	16.2 (0С)	0.5 (м)	Е.Ю. Воякина
24	Невская губа	14.08.2012 г.	42	4.4 (м)	14.7 (0С)	0.8 (м)	Е.Ю. Воякина
25	Невская губа	15.08.2012 г.	9	4.9 (м)	15.9 (0С)	2.0 (м)	Е.Ю. Воякина
26	Невская губа	15.08.2012 г.	10	13.1 (м)	16.0 (0С)	1.7 (м)	Е.Ю. Воякина
27	Невская губа	13.08.2012 г.	13	4.7 (м)	14.8 (0С)	1.7 (м)	Е.Ю. Воякина
28	Невская губа	13.08.2012 г.	39	14.6 (м)	14.3 (0С)	1.6 (м)	Е.Ю. Воякина
29	Невская губа	13.08.2012 г.	15	8.5 (м)	14.9 (0С)	1.4 (м)	Е.Ю. Воякина
30	Невская губа	13.08.2012 г.	16	15.0 (м)	16.8 (0С)	1.4 (м)	Е.Ю. Воякина
31	Невская губа	15.08.2012 г.	30	8.6 (м)	15.3 (0С)	1.9 (м)	Е.Ю. Воякина
